Latitude_dn3,Longitude_dn3,Latitude_dn1,Longitude_dn1,WifiStrength_dn3todn1,WifiStrength_dn1todn3,Distance (meters)
13.19288,-59.64352,13.192933333,-59.643641667,26,26,14.536662868
13.192886667,-59.643533333,13.192938333,-59.643653333,26,26,14.2967057613
13.19289,-59.64354,13.192946667,-59.643665,0,0,14.1325485179
13.192893333,-59.64355,13.192956667,-59.643675,23,23,14.6985265288
13.192896667,-59.643555,13.192963333,-59.643685,42,42,15.4295010048
13.192905,-59.643563333,13.192973333,-59.643695,44,44,16.1708844868
13.192913333,-59.643578333,13.192985,-59.643706667,7,7,16.2590948552
13.192916667,-59.643588333,13.192991667,-59.643725,23,23,16.1275441193
13.19292,-59.643603333,13.192998333,-59.643745,23,42,17.1285195086
13.192925,-59.643613333,13.193,-59.643763333,0,0,17.8146794802
13.192928333,-59.643623333,13.192998333,-59.643783333,0,0,18.4365214438
13.19293,-59.643635,13.193,-59.643798333,26,26,19.1015464769
13.192935,-59.643645,13.19301,-59.64381,10,10,19.4168276748
13.192941667,-59.643655,13.193015,-59.643823333,42,42,19.6579717646
13.192948333,-59.643665,13.193018333,-59.643838333,0,0,19.9121210351
13.19295,-59.643678333,13.19302,-59.643855,0,0,20.337964978
13.192955,-59.643683333,13.193016667,-59.643875,0,0,20.9390991838
13.192963333,-59.643691667,13.19301,-59.643875,0,0,21.305137468
13.19297,-59.64371,13.193008333,-59.643881667,0,0,20.3630121423
13.192973333,-59.643723333,13.19301,-59.643893333,0,0,19.0883713763
13.192975,-59.643733333,13.193013333,-59.643915,23,23,19.047876163
13.19298,-59.643741667,13.193023333,-59.643933333,23,7,20.4994935143
13.192985,-59.643758333,13.193035,-59.643936667,0,0,21.3257399414
13.192991667,-59.643775,13.193045,-59.643946667,42,0,19.819514868
13.192993333,-59.643786667,13.193053333,-59.643961667,26,26,19.3576427506
13.192996667,-59.6438,13.193055,-59.643976667,0,0,19.8167415468
13.193,-59.643803333,13.193058333,-59.643988333,23,23,20.2788094578
13.19302,-59.643808333,13.193058333,-59.644,43,43,21.1372514907
13.193038333,-59.643821667,13.193061667,-59.644006667,42,42,21.3475196563
13.19304,-59.643825,13.193063333,-59.644016667,47,47,20.2426556051
13.193045,-59.643833333,13.193066667,-59.644021667,42,42,20.7795471627
13.193055,-59.643843333,13.19306,-59.644021667,0,0,20.7123487718
13.19306,-59.643866667,13.193056667,-59.644015,0,0,19.1508979196
13.193066667,-59.643881667,13.19305,-59.644003333,42,0,15.5356462198
13.193071667,-59.643888333,13.19305,-59.64399,10,10,12.9585289242
13.193078333,-59.6439,13.193051667,-59.643975,0,0,11.0631147208
13.193086667,-59.643901667,13.193058333,-59.643971667,42,42,8.14670903747
13.193075,-59.6439,13.193065,-59.643968333,23,23,8.04965627764
13.19306,-59.64388,13.193073333,-59.643948333,47,47,7.4431723559
13.193051667,-59.643853333,13.193066667,-59.643921667,56,56,7.55324183705
13.193041667,-59.64384,13.193065,-59.64391,60,60,7.55324208462
